Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
house canery,10,10,590,28,10.04,https://www.housecanary.com/,18,0.2,180.00,0.48,102,"81, 81, 66, 66, 44, 100, 81, 81, 100, 81, 100, 100",2026-09-11,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Knowledge panel
lead generation for real estate agents,7,7,1900,37,24.13,https://www.housecanary.com/blog/best-lead-generation-for-realtors,17,0.19,410.00,0.44,133,"7, 8, 8, 8, 10, 8, 8, 8, 19, 29, 100, 10",2026-09-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",,Organic
best real estate tools for homebuyers,6,6,720,27,0.00,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,17,0.19,0.00,0,199,"0, 0, 0, 1, 24, 0, 7, 5, 3, 3, 2, 100",2026-08-26,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
housecanary valuation,1,1,90,21,14.80,https://www.housecanary.com/,17,0.19,251.00,0.59,97,"29, 17, 82, 82, 100, 5, 29, 41, 64, 64, 64, 64",2026-08-29,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",navigational,AI overview
what does arv mean in real estate,7,7,720,27,0.12,https://www.housecanary.com/blog/arv,17,0.19,2.00,0.08,135,"59, 59, 59, 48, 72, 88, 72, 59, 88, 100, 100, 100",2026-09-07,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
housesinmobiliaria.com customer service phone number,4,4,390,16,0.00,https://www.housecanary.com/contact,17,0.19,0.00,0,7430,"1, 0, 1, 100",2026-09-12,"Reviews, Video, People also ask, Related searches",informational,Organic
real estate api,5,5,590,35,4.68,https://www.housecanary.com/blog/real-estate-api,17,0.19,79.00,0.55,127,"100, 45, 36, 36, 55, 30, 36, 36, 55, 45, 30, 36",2026-09-15,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
what is the cap rate,4,4,480,38,0.11,https://www.housecanary.com/blog/cap-rate,16,0.18,1.00,0.24,173,"39, 48, 72, 5, 32, 100, 21, 32, 48, 100, 32, 39",2026-08-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
real estate investor software,8,8,720,24,0.00,https://www.housecanary.com/blog/real-estate-investment-software,15,0.17,0.00,0,124,"88, 88, 88, 88, 72, 26, 59, 88, 100, 39, 72, 59",2026-07-29,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
what is avm in real estate,5,5,720,27,2.87,https://www.housecanary.com/blog/automated-valuation-model,15,0.17,43.00,0.02,188,"45, 30, 55, 55, 55, 45, 36, 45, 36, 36, 55, 45",2026-07-29,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
real estate data platform,7,7,720,47,5.71,https://www.housecanary.com/,15,0.17,85.00,0.01,130,"4, 4, 3, 4, 5, 3, 16, 20, 24, 24, 82, 100",2026-09-13,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
real estate and asset management,5,5,720,28,6.33,https://www.housecanary.com/blog/real-estate-asset-management,15,0.17,94.00,0.31,127,"4, 3, 1, 0, 0, 0, 0, 1, 13, 27, 66, 100",2026-08-09,"Local pack, Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
api section,1,1,390,39,0.00,https://www.housecanary.com/blog/real-estate-api,15,0.17,0.00,0.07,133,"100, 28, 54, 66, 81, 81, 81, 81, 81, 100, 81, 3",2026-08-05,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
google real estate,4,4,480,47,0.76,https://www.housecanary.com/google,14,0.16,10.00,0.19,103,"8, 8, 8, 7, 7, 5, 100, 13, 11, 5, 8, 11",2026-08-26,"Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
real estate analytics platform,1,1,320,25,0.00,https://www.housecanary.com/,14,0.16,0.00,0.01,125,"1, 16, 6, 1, 6, 16, 1, 30, 30, 100, 16, 8",2026-08-04,"Video, Video Carousel, Related searches, AI overview",informational,AI overview
best real estate investment analysis platforms,2,2,170,24,0.00,https://www.housecanary.com/blog/real-estate-investment-software,13,0.14,0.00,0,121,100,2026-09-13,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
house canary reviews,1,1,70,26,13.42,https://www.housecanary.com/,13,0.14,174.00,0.35,107,"50, 35, 50, 64, 21, 50, 35, 35, 35, 100, 35, 28",2026-07-28,"Knowledge panel, Sitelinks, Reviews, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
what is an arv in real estate,1,1,390,24,0.07,https://www.housecanary.com/blog/arv,13,0.14,0.00,0.03,168,"20, 24, 76, 67, 30, 55, 20, 10, 8, 8, 8, 8",2026-07-31,"Video, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
housegroupinmobiliaria.com customer service phone number,3,3,210,15,0.00,https://www.housecanary.com/contact,13,0.14,0.00,0,1810,"1, 18, 100",2026-09-20,"Reviews, Video, People also ask, Related searches",informational,Organic
comparative market analysis tool,1,1,2400,22,5.27,https://www.housecanary.com/blog/comparative-market-analysis-tool,12,0.13,63.00,0.6,123,"80, 80, 66, 66, 80, 66, 66, 52, 52, 52, 52, 27",2026-09-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",AI overview
ai automated valuation model avm real estate 2026,1,1,2400,25,0.00,https://www.housecanary.com/,12,0.13,0.00,0,109,"5, 5, 35, 100, 66",2026-09-16,"Video, People also ask, Related searches, AI overview",informational,AI overview
ai automated valuation model avm real estate 2026,1,1,2400,25,0.00,https://www.housecanary.com/blog/automated-valuation-model,12,0.13,0.00,0,109,"5, 5, 35, 100, 66",2026-09-16,"Video, People also ask, Related searches, AI overview",informational,AI overview
real estate lead generators,8,8,590,31,21.69,https://www.housecanary.com/blog/best-lead-generation-for-realtors,12,0.13,260.00,0.41,130,"45, 30, 100, 55, 67, 76, 45, 30, 36, 30, 24, 24",2026-09-14,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what's arv in real estate,1,1,320,19,0.17,https://www.housecanary.com/blog/arv,11,0.12,1.00,0.05,167,"6, 6, 1, 6, 8, 10, 0, 30, 81, 100, 1, 10",2026-07-31,"Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
avm in real estate,3,3,320,40,3.37,https://www.housecanary.com/blog/automated-valuation-model,11,0.12,37.00,0.15,114,"44, 35, 54, 44, 66, 23, 28, 23, 44, 66, 54, 100",2026-08-12,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
real estate tools for agents,6,6,480,33,6.26,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,11,0.12,68.00,0.23,161,"36, 36, 81, 81, 54, 66, 54, 81, 66, 100, 66, 66",2026-07-30,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
lead generation real estate,7,7,1300,30,19.49,https://www.housecanary.com/blog/best-lead-generation-for-realtors,11,0.12,214.00,0.43,128,"55, 65, 44, 34, 44, 44, 44, 44, 44, 30, 24, 30",2026-08-28,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cheapest price per sq ft blue states,4,4,320,20,0.00,https://www.housecanary.com/blog/guardian-red-state-blue-state,11,0.12,0.00,0,117,"100, 0, 0, 0, 0",2026-09-16,"Video, People also ask, Related searches, AI overview",transactional,Organic
florida housing market predictions 2025,1,1,90,50,0.00,https://www.housecanary.com/blog/housing-market-predictions,11,0.12,0.00,0.33,129,"66, 44, 28, 15, 15, 8, 3, 3, 3, 3, 0, 3",2026-08-20,"Video, People also ask, Related searches, AI overview",informational,Organic
ai agents for real estate,4,4,480,23,7.07,https://www.housecanary.com/blog/5-ai-tools-for-real-estate-agents,11,0.12,77.00,0.2,126,"3, 4, 7, 7, 7, 11, 16, 13, 20, 84, 100, 11",2026-07-29,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
how real estate investors analyze properties quickly,4,4,590,25,0.00,https://www.housecanary.com/blog/real-estate-investment-software,11,0.12,0.00,0,128,"11, 100, 21, 72, 72",2026-09-17,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
bulk property,1,1,90,4,0.00,https://www.housecanary.com/products/bulk-property-data,11,0.12,0.00,0.01,141,"3, 3, 28, 21, 100, 34, 15, 15, 28, 9, 12, 34",2026-08-22,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
real estate analytics software,1,1,320,27,8.69,https://www.housecanary.com/,10,0.11,86.00,0.09,126,"54, 35, 100, 81, 43, 29, 66, 43, 66, 54, 66, 100",2026-07-30,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
comparative market analysis,13,13,3600,43,3.83,https://www.housecanary.com/blog/comparative-market-analysis-tool,10,0.11,38.00,0.52,129,"81, 66, 54, 43, 66, 66, 66, 36, 28, 43, 43, 36",2026-09-19,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
housecanary valuation,1,1,90,21,14.80,https://www.housecanary.com/,10,0.11,148.00,0.59,97,"29, 17, 82, 82, 100, 5, 29, 41, 64, 64, 64, 64",2026-08-29,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",navigational,AI overview
real estate non disclosure,1,1,70,9,1.88,https://www.housecanary.com/blog/non-disclosure-states,9,0.1,16.00,0.18,136,"43, 12, 17, 23, 5, 23, 17, 17, 23, 28, 17, 2",2026-08-13,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best real estate investment software,4,4,260,28,8.87,https://www.housecanary.com/blog/real-estate-investment-software,9,0.1,79.00,0.56,105,"59, 100, 59, 21, 7, 7, 9, 9, 11, 9, 11, 14",2026-08-26,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
new real estate data apis 2026,1,1,70,9,0.00,https://www.housecanary.com/blog/real-estate-api,9,0.1,0.00,0,125,"45, 100",2026-08-15,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","commercial, informational",Organic
housecanary reviews,1,1,50,24,15.86,https://www.housecanary.com/,9,0.1,142.00,0.49,105,"100, 21, 21, 14, 35, 21, 14, 14, 35, 28, 28, 50",2026-08-09,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,AI overview
google real estate listings,1,1,260,47,1.62,https://www.housecanary.com/google,9,0.1,14.00,0.16,119,"2, 1, 1, 1, 1, 100, 13, 5, 5, 4, 24, 30",2026-09-16,"Video, People also ask, Related searches, AI overview","commercial, informational",AI overview
non disclosure states real estate,1,1,140,11,0.36,https://www.housecanary.com/blog/non-disclosure-states,9,0.1,3.00,0.05,132,"52, 33, 42, 52, 52, 66, 66, 66, 66, 80, 66, 66",2026-08-11,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
best real estate data providers for lead generation,1,1,70,29,0.00,https://www.housecanary.com/blog/best-lead-generation-for-realtors,9,0.1,0.00,0,120,100,2026-09-19,"Sitelinks, Reviews, Video, People also ask, Discussions and forums, AI overview",commercial,Organic
house canary inc,1,1,50,20,8.76,https://www.housecanary.com/,9,0.1,78.00,0.36,103,"82, 100, 11, 11, 11, 11, 23, 52, 11, 11, 11, 11",2026-08-29,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","informational, navigational",AI overview
house seller leads,8,8,720,36,0.00,https://www.housecanary.com/blog/best-lead-generation-for-realtors,9,0.1,0.00,0.33,124,"1, 2, 3, 2, 2, 2, 3, 2, 11, 65, 82, 100",2026-09-03,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
real estate market trends april 2026,1,1,70,26,0.00,https://www.housecanary.com/blog/market-pulse-2026-april,9,0.1,0.00,0,129,100,2026-08-01,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
real estate leads generator,4,4,260,34,21.69,https://www.housecanary.com/blog/best-lead-generation-for-realtors,9,0.1,195.00,0.41,126,"44, 36, 44, 29, 36, 36, 29, 15, 15, 19, 15, 15",2026-09-13,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
residential real estate analytics,1,1,70,27,5.83,https://www.housecanary.com/,9,0.1,52.00,0.66,136,"15, 65, 53, 19, 11, 15, 34, 42, 34, 26, 7, 19",2026-08-19,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
real estate lead generation platforms,4,4,260,35,18.69,https://www.housecanary.com/blog/best-lead-generation-for-realtors,9,0.1,168.00,0.1,127,"24, 20, 10, 10, 13, 10, 13, 10, 10, 13, 100, 30",2026-09-13,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
is the housing market going to crash,22,22,6600,35,1.30,https://www.housecanary.com/blog/is-the-housing-market-going-to-crash,9,0.1,11.00,0.01,121,"5, 7, 5, 5, 7, 7, 4, 4, 8, 5, 8, 8",2026-09-20,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
best property data api platforms u.s. real estate,1,1,70,26,0.00,https://www.housecanary.com/blog/real-estate-api,9,0.1,0.00,0,131,"55, 100",2026-09-19,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
ai real estate website,1,1,70,38,10.12,https://www.housecanary.com/,9,0.1,91.00,0.4,102,"21, 28, 78, 21, 64, 100, 35, 64, 50, 78, 50, 50",2026-08-25,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
asset management real estate,7,7,480,17,6.33,https://www.housecanary.com/blog/real-estate-asset-management,9,0.1,56.00,0.31,128,"36, 36, 45, 36, 36, 45, 36, 36, 24, 30, 36, 45",2026-08-26,"Local pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
canaryai,1,1,40,20,2.16,https://www.housecanary.com/products/canary-ai,9,0.1,19.00,0.33,123,"18, 100, 36, 0, 0, 36, 27, 0, 100, 0, 63, 0",2026-08-16,"Knowledge panel, Reviews, Video, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
